id,status,assignee,priority
TASK-0001,review,judy,medium
TASK-0002,open,nick,high
TASK-0003,in-progress,heidi,critical
TASK-0004,in-progress,tina,high
TASK-0005,review,heidi,medium
TASK-0006,blocked,olivia,high
TASK-0007,review,rosa,low
TASK-0008,in-progress,olivia,medium
TASK-0009,in-progress,alice,medium
TASK-0010,done,tina,low
TASK-0011,review,dave,low
TASK-0012,blocked,heidi,high
TASK-0013,blocked,liam,low
TASK-0014,review,carol,medium
TASK-0015,done,pat,high
TASK-0016,review,judy,high
TASK-0017,review,ivan,low
TASK-0018,review,quinn,high
TASK-0019,open,karl,low
TASK-0020,blocked,nick,high
TASK-0021,open,eve,critical
TASK-0022,review,liam,medium
TASK-0023,in-progress,pat,low
TASK-0024,in-progress,dave,critical
TASK-0025,open,rosa,high
TASK-0026,open,grace,medium
TASK-0027,blocked,carol,low
TASK-0028,open,olivia,critical
TASK-0029,in-progress,frank,high
TASK-0030,in-progress,judy,medium
TASK-0031,open,sam,medium
TASK-0032,in-progress,mona,low
TASK-0033,blocked,eve,critical
TASK-0034,review,olivia,low
TASK-0035,blocked,karl,low
TASK-0036,done,heidi,low
TASK-0037,done,eve,critical
TASK-0038,blocked,judy,critical
TASK-0039,review,rosa,critical
TASK-0040,done,quinn,high
TASK-0041,blocked,karl,medium
TASK-0042,review,alice,low
TASK-0043,done,eve,medium
TASK-0044,done,quinn,medium
TASK-0045,review,frank,high
TASK-0046,in-progress,judy,medium
TASK-0047,done,mona,critical
TASK-0048,done,grace,high
TASK-0049,in-progress,heidi,critical
TASK-0050,blocked,frank,medium
TASK-0051,blocked,heidi,low
TASK-0052,open,alice,low
TASK-0053,review,grace,high
TASK-0054,blocked,grace,critical
TASK-0055,in-progress,alice,medium
TASK-0056,review,liam,low
TASK-0057,open,judy,low
TASK-0058,blocked,pat,medium
TASK-0059,open,rosa,low
TASK-0060,done,carol,low
TASK-0061,done,judy,critical
TASK-0062,blocked,bob,high
TASK-0063,review,mona,high
TASK-0064,in-progress,rosa,low
TASK-0065,blocked,mona,high
TASK-0066,done,tina,critical
TASK-0067,in-progress,bob,medium
TASK-0068,review,sam,high
TASK-0069,blocked,sam,low
TASK-0070,done,eve,medium
TASK-0071,blocked,nick,medium
TASK-0072,open,rosa,critical
TASK-0073,blocked,grace,high
TASK-0074,in-progress,tina,low
TASK-0075,review,liam,medium
TASK-0076,open,sam,low
TASK-0077,in-progress,mona,low
TASK-0078,in-progress,eve,critical
TASK-0079,done,eve,low
TASK-0080,done,pat,medium
TASK-0081,done,frank,medium
TASK-0082,review,mona,critical
TASK-0083,blocked,pat,medium
TASK-0084,open,heidi,medium
TASK-0085,in-progress,karl,high
TASK-0086,blocked,karl,low
TASK-0087,blocked,tina,low
TASK-0088,done,nick,critical
TASK-0089,in-progress,mona,low
TASK-0090,in-progress,carol,critical
TASK-0091,blocked,karl,high
TASK-0092,in-progress,eve,high
TASK-0093,done,carol,high
TASK-0094,open,mona,high
TASK-0095,done,karl,low
TASK-0096,done,ivan,high
TASK-0097,done,grace,high
TASK-0098,in-progress,nick,low
TASK-0099,blocked,carol,critical
TASK-0100,review,nick,high
TASK-0101,blocked,quinn,low
TASK-0102,review,judy,critical
TASK-0103,review,carol,critical
TASK-0104,blocked,frank,low
TASK-0105,done,alice,high
TASK-0106,blocked,dave,critical
TASK-0107,review,tina,high
TASK-0108,blocked,carol,high
TASK-0109,done,nick,high
TASK-0110,in-progress,frank,high
TASK-0111,blocked,pat,critical
TASK-0112,review,bob,low
TASK-0113,open,ivan,low
TASK-0114,review,bob,high
TASK-0115,review,tina,medium
TASK-0116,in-progress,karl,critical
TASK-0117,in-progress,heidi,medium
TASK-0118,open,carol,critical
TASK-0119,done,liam,medium
TASK-0120,blocked,sam,low
TASK-0121,done,alice,critical
TASK-0122,review,frank,critical
TASK-0123,done,carol,medium
TASK-0124,done,carol,medium
TASK-0125,in-progress,carol,high
TASK-0126,blocked,olivia,low
TASK-0127,in-progress,heidi,medium
TASK-0128,in-progress,mona,high
TASK-0129,blocked,alice,medium
TASK-0130,open,alice,critical
TASK-0131,blocked,nick,medium
TASK-0132,blocked,karl,critical
TASK-0133,done,tina,high
TASK-0134,review,quinn,medium
TASK-0135,review,nick,medium
TASK-0136,review,frank,critical
TASK-0137,open,pat,low
TASK-0138,review,ivan,critical
TASK-0139,review,karl,medium
TASK-0140,review,sam,critical
TASK-0141,review,alice,low
TASK-0142,review,carol,critical
TASK-0143,done,carol,medium
TASK-0144,review,olivia,critical
TASK-0145,done,karl,low
TASK-0146,in-progress,judy,high
TASK-0147,review,ivan,high
TASK-0148,open,alice,critical
TASK-0149,open,carol,critical
TASK-0150,done,mona,high
TASK-0151,in-progress,bob,low
TASK-0152,in-progress,nick,low
TASK-0153,blocked,quinn,high
TASK-0154,open,pat,high
TASK-0155,in-progress,sam,medium
TASK-0156,open,liam,high
TASK-0157,in-progress,tina,high
TASK-0158,review,bob,critical
TASK-0159,blocked,dave,low
TASK-0160,in-progress,rosa,medium
TASK-0161,blocked,mona,critical
TASK-0162,in-progress,liam,medium
TASK-0163,review,ivan,low
TASK-0164,done,liam,high
TASK-0165,review,alice,low
TASK-0166,open,karl,low
TASK-0167,in-progress,grace,critical
TASK-0168,in-progress,bob,low
TASK-0169,in-progress,judy,low
TASK-0170,done,frank,medium
TASK-0171,review,sam,low
TASK-0172,open,mona,critical
TASK-0173,blocked,sam,high
TASK-0174,open,nick,critical
TASK-0175,review,ivan,high
TASK-0176,open,dave,low
TASK-0177,done,bob,low
TASK-0178,open,pat,medium
TASK-0179,in-progress,eve,critical
TASK-0180,done,quinn,low
TASK-0181,open,frank,critical
TASK-0182,review,olivia,low
TASK-0183,blocked,rosa,critical
TASK-0184,in-progress,sam,low
TASK-0185,done,eve,medium
TASK-0186,done,ivan,critical
TASK-0187,blocked,tina,medium
TASK-0188,review,grace,high
TASK-0189,review,ivan,high
TASK-0190,blocked,pat,low
TASK-0191,in-progress,karl,low
TASK-0192,review,sam,critical
TASK-0193,open,mona,high
TASK-0194,in-progress,karl,medium
TASK-0195,review,grace,low
TASK-0196,done,mona,high
TASK-0197,in-progress,liam,medium
TASK-0198,review,olivia,medium
TASK-0199,open,heidi,high
TASK-0200,done,ivan,critical
TASK-0201,done,dave,critical
TASK-0202,blocked,ivan,critical
TASK-0203,in-progress,tina,medium
TASK-0204,in-progress,pat,critical
TASK-0205,open,quinn,medium
TASK-0206,open,judy,critical
TASK-0207,review,liam,critical
TASK-0208,done,pat,critical
